ANO,FILTRO,CONTEUDO,CHAVE,VALOR
2004,Região,Nascim p/resid.mãe,TOTAL,3.026.548
2004,Região,Nascim p/resid.mãe,Norte,309.136
2004,Região,Nascim p/resid.mãe,Nordeste,910.775
2004,Região,Nascim p/resid.mãe,Sudeste,1.178.915
2004,Região,Nascim p/resid.mãe,Sul,398.126
2004,Região,Nascim p/resid.mãe,Centro-Oeste,229.596
2003,Região,Nascim p/resid.mãe,TOTAL,3.038.251
2003,Região,Nascim p/resid.mãe,Norte,311.335
2003,Região,Nascim p/resid.mãe,Nordeste,930.145
2003,Região,Nascim p/resid.mãe,Sudeste,1.181.131
2003,Região,Nascim p/resid.mãe,Sul,389.675
2003,Região,Nascim p/resid.mãe,Centro-Oeste,225.965
2002,Região,Nascim p/resid.mãe,TOTAL,3.059.402
2002,Região,Nascim p/resid.mãe,Norte,301.208
2002,Região,Nascim p/resid.mãe,Nordeste,929.717
2002,Região,Nascim p/resid.mãe,Sudeste,1.195.168
2002,Região,Nascim p/resid.mãe,Sul,406.116
2002,Região,Nascim p/resid.mãe,Centro-Oeste,227.193
2001,Região,Nascim p/resid.mãe,TOTAL,3.115.474
2001,Região,Nascim p/resid.mãe,Norte,299.388
2001,Região,Nascim p/resid.mãe,Nordeste,942.141
2001,Região,Nascim p/resid.mãe,Sudeste,1.230.473
2001,Região,Nascim p/resid.mãe,Sul,415.957
2001,Região,Nascim p/resid.mãe,Centro-Oeste,227.515
2000,Região,Nascim p/resid.mãe,TOTAL,3.206.761
2000,Região,Nascim p/resid.mãe,Norte,290.708
2000,Região,Nascim p/resid.mãe,Nordeste,926.104
2000,Região,Nascim p/resid.mãe,Sudeste,1.306.235
2000,Região,Nascim p/resid.mãe,Sul,451.009
2000,Região,Nascim p/resid.mãe,Centro-Oeste,232.705
1999,Região,Nascim p/resid.mãe,TOTAL,3.256.433
1999,Região,Nascim p/resid.mãe,Norte,285.229
1999,Região,Nascim p/resid.mãe,Nordeste,915.528
1999,Região,Nascim p/resid.mãe,Sudeste,1.351.192
1999,Região,Nascim p/resid.mãe,Sul,470.326
1999,Região,Nascim p/resid.mãe,Centro-Oeste,234.158
1998,Região,Nascim p/resid.mãe,TOTAL,3.148.037
1998,Região,Nascim p/resid.mãe,Norte,266.332
1998,Região,Nascim p/resid.mãe,Nordeste,878.176
1998,Região,Nascim p/resid.mãe,Sudeste,1.305.587
1998,Região,Nascim p/resid.mãe,Sul,459.039
1998,Região,Nascim p/resid.mãe,Centro-Oeste,238.903
1997,Região,Nascim p/resid.mãe,TOTAL,3.026.658
1997,Região,Nascim p/resid.mãe,Norte,257.995
1997,Região,Nascim p/resid.mãe,Nordeste,832.366
1997,Região,Nascim p/resid.mãe,Sudeste,1.223.117
1997,Região,Nascim p/resid.mãe,Sul,471.234
1997,Região,Nascim p/resid.mãe,Centro-Oeste,241.946
1996,Região,Nascim p/resid.mãe,TOTAL,2.945.425
1996,Região,Nascim p/resid.mãe,Norte,240.251
1996,Região,Nascim p/resid.mãe,Nordeste,787.363
1996,Região,Nascim p/resid.mãe,Sudeste,1.199.147
1996,Região,Nascim p/resid.mãe,Sul,478.879
1996,Região,Nascim p/resid.mãe,Centro-Oeste,239.785
1995,Região,Nascim p/resid.mãe,TOTAL,2.824.729
1995,Região,Nascim p/resid.mãe,Norte,227.013
1995,Região,Nascim p/resid.mãe,Nordeste,732.094
1995,Região,Nascim p/resid.mãe,Sudeste,1.140.419
1995,Região,Nascim p/resid.mãe,Sul,482.965
1995,Região,Nascim p/resid.mãe,Centro-Oeste,242.238
1994,Região,Nascim p/resid.mãe,TOTAL,2.571.571
1994,Região,Nascim p/resid.mãe,Norte,216.978
1994,Região,Nascim p/resid.mãe,Nordeste,617.108
1994,Região,Nascim p/resid.mãe,Sudeste,1.074.088
1994,Região,Nascim p/resid.mãe,Sul,475.727
1994,Região,Nascim p/resid.mãe,Centro-Oeste,187.670
2022,Região,Nascim p/ocorrênc,TOTAL,2.561.922
2022,Região,Nascim p/ocorrênc,Norte,288.536
2022,Região,Nascim p/ocorrênc,Nordeste,709.216
2022,Região,Nascim p/ocorrênc,Sudeste,980.010
2022,Região,Nascim p/ocorrênc,Sul,359.611
2022,Região,Nascim p/ocorrênc,Centro-Oeste,224.549
2021,Região,Nascim p/ocorrênc,TOTAL,2.677.101
2021,Região,Nascim p/ocorrênc,Norte,308.497
2021,Região,Nascim p/ocorrênc,Nordeste,766.454
2021,Região,Nascim p/ocorrênc,Sudeste,1.010.060
2021,Região,Nascim p/ocorrênc,Sul,362.794
2021,Região,Nascim p/ocorrênc,Centro-Oeste,229.296
2020,Região,Nascim p/ocorrênc,TOTAL,2.730.145
2020,Região,Nascim p/ocorrênc,Norte,300.867
2020,Região,Nascim p/ocorrênc,Nordeste,770.996
2020,Região,Nascim p/ocorrênc,Sudeste,1.052.832
2020,Região,Nascim p/ocorrênc,Sul,374.825
2020,Região,Nascim p/ocorrênc,Centro-Oeste,230.625
2019,Região,Nascim p/ocorrênc,TOTAL,2.849.146
2019,Região,Nascim p/ocorrênc,Norte,312.669
2019,Região,Nascim p/ocorrênc,Nordeste,805.825
2019,Região,Nascim p/ocorrênc,Sudeste,1.103.532
2019,Região,Nascim p/ocorrênc,Sul,385.914
2019,Região,Nascim p/ocorrênc,Centro-Oeste,241.206
2018,Região,Nascim p/ocorrênc,TOTAL,2.944.932
2018,Região,Nascim p/ocorrênc,Norte,318.030
2018,Região,Nascim p/ocorrênc,Nordeste,837.591
2018,Região,Nascim p/ocorrênc,Sudeste,1.147.601
2018,Região,Nascim p/ocorrênc,Sul,395.674
2018,Região,Nascim p/ocorrênc,Centro-Oeste,246.036
2017,Região,Nascim p/ocorrênc,TOTAL,2.923.535
2017,Região,Nascim p/ocorrênc,Norte,311.509
2017,Região,Nascim p/ocorrênc,Nordeste,818.068
2017,Região,Nascim p/ocorrênc,Sudeste,1.152.539
2017,Região,Nascim p/ocorrênc,Sul,397.323
2017,Região,Nascim p/ocorrênc,Centro-Oeste,244.096
2016,Região,Nascim p/ocorrênc,TOTAL,2.857.800
2016,Região,Nascim p/ocorrênc,Norte,306.530
2016,Região,Nascim p/ocorrênc,Nordeste,796.766
2016,Região,Nascim p/ocorrênc,Sudeste,1.128.096
2016,Região,Nascim p/ocorrênc,Sul,391.548
2016,Região,Nascim p/ocorrênc,Centro-Oeste,234.860
2015,Região,Nascim p/ocorrênc,TOTAL,3.017.668
2015,Região,Nascim p/ocorrênc,Norte,319.770
2015,Região,Nascim p/ocorrênc,Nordeste,847.082
2015,Região,Nascim p/ocorrênc,Sudeste,1.196.970
2015,Região,Nascim p/ocorrênc,Sul,406.232
2015,Região,Nascim p/ocorrênc,Centro-Oeste,247.614
2014,Região,Nascim p/ocorrênc,TOTAL,2.979.259
2014,Região,Nascim p/ocorrênc,Norte,320.674
2014,Região,Nascim p/ocorrênc,Nordeste,833.592
2014,Região,Nascim p/ocorrênc,Sudeste,1.183.689
2014,Região,Nascim p/ocorrênc,Sul,396.105
2014,Região,Nascim p/ocorrênc,Centro-Oeste,245.199
2013,Região,Nascim p/ocorrênc,TOTAL,2.904.027
2013,Região,Nascim p/ocorrênc,Norte,312.378
2013,Região,Nascim p/ocorrênc,Nordeste,821.903
2013,Região,Nascim p/ocorrênc,Sudeste,1.148.317
2013,Região,Nascim p/ocorrênc,Sul,386.755
2013,Região,Nascim p/ocorrênc,Centro-Oeste,234.674
2012,Região,Nascim p/ocorrênc,TOTAL,2.905.789
2012,Região,Nascim p/ocorrênc,Norte,307.430
2012,Região,Nascim p/ocorrênc,Nordeste,833.013
2012,Região,Nascim p/ocorrênc,Sudeste,1.153.422
2012,Região,Nascim p/ocorrênc,Sul,381.531
2012,Região,Nascim p/ocorrênc,Centro-Oeste,230.393
2011,Região,Nascim p/ocorrênc,TOTAL,2.913.160
2011,Região,Nascim p/ocorrênc,Norte,313.029
2011,Região,Nascim p/ocorrênc,Nordeste,851.181
2011,Região,Nascim p/ocorrênc,Sudeste,1.144.213
2011,Região,Nascim p/ocorrênc,Sul,378.000
2011,Região,Nascim p/ocorrênc,Centro-Oeste,226.737
2010,Região,Nascim p/ocorrênc,TOTAL,2.861.868
2010,Região,Nascim p/ocorrênc,Norte,305.865
2010,Região,Nascim p/ocorrênc,Nordeste,841.386
2010,Região,Nascim p/ocorrênc,Sudeste,1.123.910
2010,Região,Nascim p/ocorrênc,Sul,369.856
2010,Região,Nascim p/ocorrênc,Centro-Oeste,220.851
2009,Região,Nascim p/ocorrênc,TOTAL,2.881.581
2009,Região,Nascim p/ocorrênc,Norte,310.254
2009,Região,Nascim p/ocorrênc,Nordeste,865.318
2009,Região,Nascim p/ocorrênc,Sudeste,1.119.455
2009,Região,Nascim p/ocorrênc,Sul,366.344
2009,Região,Nascim p/ocorrênc,Centro-Oeste,220.210
2008,Região,Nascim p/ocorrênc,TOTAL,2.934.828
2008,Região,Nascim p/ocorrênc,Norte,321.551
2008,Região,Nascim p/ocorrênc,Nordeste,888.418
2008,Região,Nascim p/ocorrênc,Sudeste,1.130.501
2008,Região,Nascim p/ocorrênc,Sul,371.482
2008,Região,Nascim p/ocorrênc,Centro-Oeste,222.876
2007,Região,Nascim p/ocorrênc,TOTAL,2.891.328
2007,Região,Nascim p/ocorrênc,Norte,311.458
2007,Região,Nascim p/ocorrênc,Nordeste,878.679
2007,Região,Nascim p/ocorrênc,Sudeste,1.122.863
2007,Região,Nascim p/ocorrênc,Sul,362.857
2007,Região,Nascim p/ocorrênc,Centro-Oeste,215.471
2006,Região,Nascim p/ocorrênc,TOTAL,2.944.928
2006,Região,Nascim p/ocorrênc,Norte,317.265
2006,Região,Nascim p/ocorrênc,Nordeste,887.330
2006,Região,Nascim p/ocorrênc,Sudeste,1.139.525
2006,Região,Nascim p/ocorrênc,Sul,379.027
2006,Região,Nascim p/ocorrênc,Centro-Oeste,221.781
2005,Região,Nascim p/ocorrênc,TOTAL,3.035.094
2005,Região,Nascim p/ocorrênc,Norte,314.514
2005,Região,Nascim p/ocorrênc,Nordeste,925.577
2005,Região,Nascim p/ocorrênc,Sudeste,1.171.738
2005,Região,Nascim p/ocorrênc,Sul,391.834
2005,Região,Nascim p/ocorrênc,Centro-Oeste,231.431
2004,Região,Nascim p/ocorrênc,TOTAL,3.026.548
2004,Região,Nascim p/ocorrênc,Norte,309.039
2004,Região,Nascim p/ocorrênc,Nordeste,910.902
2004,Região,Nascim p/ocorrênc,Sudeste,1.178.817
2004,Região,Nascim p/ocorrênc,Sul,397.992
2004,Região,Nascim p/ocorrênc,Centro-Oeste,229.798
2003,Região,Nascim p/ocorrênc,TOTAL,3.038.251
2003,Região,Nascim p/ocorrênc,Norte,311.128
2003,Região,Nascim p/ocorrênc,Nordeste,930.289
2003,Região,Nascim p/ocorrênc,Sudeste,1.180.917
2003,Região,Nascim p/ocorrênc,Sul,389.578
2003,Região,Nascim p/ocorrênc,Centro-Oeste,226.339
2002,Região,Nascim p/ocorrênc,TOTAL,3.059.402
2002,Região,Nascim p/ocorrênc,Norte,300.866
2002,Região,Nascim p/ocorrênc,Nordeste,930.010
2002,Região,Nascim p/ocorrênc,Sudeste,1.194.795
2002,Região,Nascim p/ocorrênc,Sul,406.057
2002,Região,Nascim p/ocorrênc,Centro-Oeste,227.674
2001,Região,Nascim p/ocorrênc,TOTAL,3.115.474
2001,Região,Nascim p/ocorrênc,Norte,299.005
2001,Região,Nascim p/ocorrênc,Nordeste,942.887
2001,Região,Nascim p/ocorrênc,Sudeste,1.229.832
2001,Região,Nascim p/ocorrênc,Sul,415.929
2001,Região,Nascim p/ocorrênc,Centro-Oeste,227.821
2000,Região,Nascim p/ocorrênc,TOTAL,3.206.761
2000,Região,Nascim p/ocorrênc,Norte,291.049
2000,Região,Nascim p/ocorrênc,Nordeste,926.007
2000,Região,Nascim p/ocorrênc,Sudeste,1.305.543
2000,Região,Nascim p/ocorrênc,Sul,451.061
2000,Região,Nascim p/ocorrênc,Centro-Oeste,233.101
1999,Região,Nascim p/ocorrênc,TOTAL,3.256.433
1999,Região,Nascim p/ocorrênc,Norte,285.237
1999,Região,Nascim p/ocorrênc,Nordeste,915.084
1999,Região,Nascim p/ocorrênc,Sudeste,1.351.150
1999,Região,Nascim p/ocorrênc,Sul,470.548
1999,Região,Nascim p/ocorrênc,Centro-Oeste,234.414
1998,Região,Nascim p/ocorrênc,TOTAL,3.148.037
1998,Região,Nascim p/ocorrênc,Norte,266.494
1998,Região,Nascim p/ocorrênc,Nordeste,877.800
1998,Região,Nascim p/ocorrênc,Sudeste,1.305.508
1998,Região,Nascim p/ocorrênc,Sul,459.234
1998,Região,Nascim p/ocorrênc,Centro-Oeste,239.001
1997,Região,Nascim p/ocorrênc,TOTAL,3.026.658
1997,Região,Nascim p/ocorrênc,Norte,257.958
1997,Região,Nascim p/ocorrênc,Nordeste,832.908
1997,Região,Nascim p/ocorrênc,Sudeste,1.221.805
1997,Região,Nascim p/ocorrênc,Sul,471.689
1997,Região,Nascim p/ocorrênc,Centro-Oeste,242.298
1996,Região,Nascim p/ocorrênc,TOTAL,2.945.425
1996,Região,Nascim p/ocorrênc,Norte,239.934
1996,Região,Nascim p/ocorrênc,Nordeste,787.454
1996,Região,Nascim p/ocorrênc,Sudeste,1.198.930
1996,Região,Nascim p/ocorrênc,Sul,479.063
1996,Região,Nascim p/ocorrênc,Centro-Oeste,240.044
1995,Região,Nascim p/ocorrênc,TOTAL,2.824.729
1995,Região,Nascim p/ocorrênc,Norte,226.568
1995,Região,Nascim p/ocorrênc,Nordeste,731.106
1995,Região,Nascim p/ocorrênc,Sudeste,1.141.492
1995,Região,Nascim p/ocorrênc,Sul,483.005
1995,Região,Nascim p/ocorrênc,Centro-Oeste,242.558
1994,Região,Nascim p/ocorrênc,TOTAL,2.571.571
1994,Região,Nascim p/ocorrênc,Norte,216.462
1994,Região,Nascim p/ocorrênc,Nordeste,616.415
1994,Região,Nascim p/ocorrênc,Sudeste,1.075.307
1994,Região,Nascim p/ocorrênc,Sul,475.431
1994,Região,Nascim p/ocorrênc,Centro-Oeste,187.956
2022,Região/Unidade da Federação,Nascim p/resid.mãe,TOTAL,2.561.922
2022,Região/Unidade da Federação,Nascim p/resid.mãe,Região Norte,289.158
2022,Região/Unidade da Federação,Nascim p/resid.mãe,Rondônia,24.901
2022,Região/Unidade da Federação,Nascim p/resid.mãe,Acre,14.483
2022,Região/Unidade da Federação,Nascim p/resid.mãe,Amazonas,72.519
2022,Região/Unidade da Federação,Nascim p/resid.mãe,Roraima,13.091
2022,Região/Unidade da Federação,Nascim p/resid.mãe,Pará,128.000
2022,Região/Unidade da Federação,Nascim p/resid.mãe,Amapá,13.615
2022,Região/Unidade da Federação,Nascim p/resid.mãe,Tocantins,22.549
2022,Região/Unidade da Federação,Nascim p/resid.mãe,Região Nordeste,708.975
2022,Região/Unidade da Federação,Nascim p/resid.mãe,Maranhão,97.964
2022,Região/Unidade da Federação,Nascim p/resid.mãe,Piauí,42.247
2022,Região/Unidade da Federação,Nascim p/resid.mãe,Ceará,112.308
2022,Região/Unidade da Federação,Nascim p/resid.mãe,Rio Grande do Norte,40.037
2022,Região/Unidade da Federação,Nascim p/resid.mãe,Paraíba,50.892
2022,Região/Unidade da Federação,Nascim p/resid.mãe,Pernambuco,117.437
2022,Região/Unidade da Federação,Nascim p/resid.mãe,Alagoas,45.742
2022,Região/Unidade da Federação,Nascim p/resid.mãe,Sergipe,28.524
2022,Região/Unidade da Federação,Nascim p/resid.mãe,Bahia,173.824
2022,Região/Unidade da Federação,Nascim p/resid.mãe,Região Sudeste,979.681
2022,Região/Unidade da Federação,Nascim p/resid.mãe,Minas Gerais,235.063
2022,Região/Unidade da Federação,Nascim p/resid.mãe,Espírito Santo,51.729
2022,Região/Unidade da Federação,Nascim p/resid.mãe,Rio de Janeiro,180.369
2022,Região/Unidade da Federação,Nascim p/resid.mãe,São Paulo,512.520
2022,Região/Unidade da Federação,Nascim p/resid.mãe,Região Sul,359.781
2022,Região/Unidade da Federação,Nascim p/resid.mãe,Paraná,140.637
2022,Região/Unidade da Federação,Nascim p/resid.mãe,Santa Catarina,98.202
2022,Região/Unidade da Federação,Nascim p/resid.mãe,Rio Grande do Sul,120.942
2022,Região/Unidade da Federação,Nascim p/resid.mãe,Região Centro-Oeste,224.327
2022,Região/Unidade da Federação,Nascim p/resid.mãe,Mato Grosso do Sul,40.485
2022,Região/Unidade da Federação,Nascim p/resid.mãe,Mato Grosso,58.169
2022,Região/Unidade da Federação,Nascim p/resid.mãe,Goiás,89.745
2022,Região/Unidade da Federação,Nascim p/resid.mãe,Distrito Federal,35.928
2021,Região/Unidade da Federação,Nascim p/resid.mãe,TOTAL,2.677.101
2021,Região/Unidade da Federação,Nascim p/resid.mãe,Região Norte,309.362
2021,Região/Unidade da Federação,Nascim p/resid.mãe,Rondônia,25.439
2021,Região/Unidade da Federação,Nascim p/resid.mãe,Acre,15.699
2021,Região/Unidade da Federação,Nascim p/resid.mãe,Amazonas,78.454
2021,Região/Unidade da Federação,Nascim p/resid.mãe,Roraima,13.901
2021,Região/Unidade da Federação,Nascim p/resid.mãe,Pará,137.129
2021,Região/Unidade da Federação,Nascim p/resid.mãe,Amapá,14.993
2021,Região/Unidade da Federação,Nascim p/resid.mãe,Tocantins,23.747
2021,Região/Unidade da Federação,Nascim p/resid.mãe,Região Nordeste,766.074
2021,Região/Unidade da Federação,Nascim p/resid.mãe,Maranhão,108.667
2021,Região/Unidade da Federação,Nascim p/resid.mãe,Piauí,45.978
2021,Região/Unidade da Federação,Nascim p/resid.mãe,Ceará,120.266
2021,Região/Unidade da Federação,Nascim p/resid.mãe,Rio Grande do Norte,43.430
2021,Região/Unidade da Federação,Nascim p/resid.mãe,Paraíba,56.049
2021,Região/Unidade da Federação,Nascim p/resid.mãe,Pernambuco,126.211
2021,Região/Unidade da Federação,Nascim p/resid.mãe,Alagoas,48.808
2021,Região/Unidade da Federação,Nascim p/resid.mãe,Sergipe,31.206
2021,Região/Unidade da Federação,Nascim p/resid.mãe,Bahia,185.459
2021,Região/Unidade da Federação,Nascim p/resid.mãe,Região Sudeste,1.009.734
2021,Região/Unidade da Federação,Nascim p/resid.mãe,Minas Gerais,242.136
2021,Região/Unidade da Federação,Nascim p/resid.mãe,Espírito Santo,52.493
2021,Região/Unidade da Federação,Nascim p/resid.mãe,Rio de Janeiro,189.866
2021,Região/Unidade da Federação,Nascim p/resid.mãe,São Paulo,525.239
2021,Região/Unidade da Federação,Nascim p/resid.mãe,Região Sul,362.921
2021,Região/Unidade da Federação,Nascim p/resid.mãe,Paraná,141.976
2021,Região/Unidade da Federação,Nascim p/resid.mãe,Santa Catarina,96.499
2021,Região/Unidade da Federação,Nascim p/resid.mãe,Rio Grande do Sul,124.446
2021,Região/Unidade da Federação,Nascim p/resid.mãe,Região Centro-Oeste,229.010
2021,Região/Unidade da Federação,Nascim p/resid.mãe,Mato Grosso do Sul,42.173
2021,Região/Unidade da Federação,Nascim p/resid.mãe,Mato Grosso,57.841
2021,Região/Unidade da Federação,Nascim p/resid.mãe,Goiás,90.961
2021,Região/Unidade da Federação,Nascim p/resid.mãe,Distrito Federal,38.035
2020,Região/Unidade da Federação,Nascim p/resid.mãe,TOTAL,2.730.145
2020,Região/Unidade da Federação,Nascim p/resid.mãe,Região Norte,301.635
2020,Região/Unidade da Federação,Nascim p/resid.mãe,Rondônia,25.798
2020,Região/Unidade da Federação,Nascim p/resid.mãe,Acre,15.142
2020,Região/Unidade da Federação,Nascim p/resid.mãe,Amazonas,75.635
2020,Região/Unidade da Federação,Nascim p/resid.mãe,Roraima,13.760
2020,Região/Unidade da Federação,Nascim p/resid.mãe,Pará,132.938
2020,Região/Unidade da Federação,Nascim p/resid.mãe,Amapá,14.633
2020,Região/Unidade da Federação,Nascim p/resid.mãe,Tocantins,23.729
2020,Região/Unidade da Federação,Nascim p/resid.mãe,Região Nordeste,770.688
2020,Região/Unidade da Federação,Nascim p/resid.mãe,Maranhão,106.079
2020,Região/Unidade da Federação,Nascim p/resid.mãe,Piauí,45.229
2020,Região/Unidade da Federação,Nascim p/resid.mãe,Ceará,121.904
2020,Região/Unidade da Federação,Nascim p/resid.mãe,Rio Grande do Norte,43.531
2020,Região/Unidade da Federação,Nascim p/resid.mãe,Paraíba,56.379
2020,Região/Unidade da Federação,Nascim p/resid.mãe,Pernambuco,128.481
2020,Região/Unidade da Federação,Nascim p/resid.mãe,Alagoas,48.341
2020,Região/Unidade da Federação,Nascim p/resid.mãe,Sergipe,31.784
2020,Região/Unidade da Federação,Nascim p/resid.mãe,Bahia,188.960
2020,Região/Unidade da Federação,Nascim p/resid.mãe,Região Sudeste,1.052.399
2020,Região/Unidade da Federação,Nascim p/resid.mãe,Minas Gerais,247.198
2020,Região/Unidade da Federação,Nascim p/resid.mãe,Espírito Santo,53.767
2020,Região/Unidade da Federação,Nascim p/resid.mãe,Rio de Janeiro,199.124
2020,Região/Unidade da Federação,Nascim p/resid.mãe,São Paulo,552.310
2020,Região/Unidade da Federação,Nascim p/resid.mãe,Região Sul,374.949
2020,Região/Unidade da Federação,Nascim p/resid.mãe,Paraná,146.291
2020,Região/Unidade da Federação,Nascim p/resid.mãe,Santa Catarina,97.916
2020,Região/Unidade da Federação,Nascim p/resid.mãe,Rio Grande do Sul,130.742
